; Comments are followed by ';'
3777,5C0B
3A66,651C
3E03,9EDE
4313,7E41
432B,7E9C
4576,8B77
4E89,722D
4E8A,4E8B
4EED,4EDE
4F75,5002
4FA3,4FB6
4FE3,4FC1
503C,5024
5077,5078
507D,50DE
510D,50BB
5151,514C
518C,518A
51B2,6C96
51B3,6C7A
51C0,6DE8
51C8,6DE8
51D6,6E96
51EF,51F1
5204,5203
5220,522A
522B,5225
5234,5241
5239,524E
5265,525D
52F2,52F3
5300,52FB
5367,81E5
5373,537D
53A2,5EC2
53A8,5EDA
53C2,53C3
5415,5442
5434,5433
544A,543F
5450,5436
5451,541E
5527,559E
555F,5553
55BB,55A9
5618,5653
56A2,56CA
570F,5708
5717,5716
586B,5861
5897,589E
5900,58FD
5965,5967
5968,596C
598D,59F8
59D7,59CD
5A31,5A1B
5AAF,5B00
5B76,5B73
5BAB,5BAE
5BDB,5BEC
5BF3,5BF6
5C02,5C08
5C1A,5C19
5C4A,5C46
5C80,51FA
5DD4,5DD3
5DFB,5377
5E64,5E63
5EC4,5ECF
5F11,5F12
5F3A,5F37
5F66,5F65
5FB4,5FB5
6075,60E0
60A6,6085
60AA,60E1
614E,613C
617F,6191
6205,6207
6231,6232
6237,6236
6238,6236
629B,62CB
6362,63DB
63B2,63ED
63D1,634F
63FA,6416
63FE,6435
643A,651C
6483,64CA
6491,6490
64D5,651C
6559,654E
65E2,65E3
6669,665A
66A6,66C6
66A8,66C1
66FD,66FE
6736,6735
6765,4F86
67B4,67FA
67E5,67FB
6805,67F5
697D,6A02
6982,69EA
6986,6961
69D8,6A23
6A2A,6A6B
6A71,6AE5
6AC9,6AE5
6B69,6B65
6B73,6B72
6B74,6B77
6B81,6B7F
6BBB,6BBC
6BC1,6BC0
6BCE,6BCF
6C5A,6C59
6C61,6C59
6CA1,6C92
6D44,6DE8
6D99,6DDA
6E09,6E89
6E29,6EAB
6E7C,6D85
6E89,6F11
70BA,7232
7199,7155
7231,611B
73A8,73CF
7476,7464
74F6,7501
7523,7522
76D7,76DC
771F,771E
7741,775C
7814,784F
7984,797F
79C3,79BF
7A0E,7A05
7A42,7A57
7AF4,7A69
7B5D,7B8F
7CA4,7CB5
7CED,7CC9
7D76,7D55
7DD1,7DA0
7DD2,7DD6
7E01,7DE3
7E4B,7E6B
7E92,7E8F
7FF1,7FFA
8074,807D
807C,807D
8131,812B
81D3,81DF
820E,820D
8217,8216
8288,7F8B
834A,8346
8354,8318
83B1,840A
83EB,5807
85F4,860A
865A,865B
8846,773E
89A7,89BD
8AAC,8AAA
8B21,8B20
8EB1,8EB2
9039,9054
9065,9059
90CE,90DE
90F7,9115
9109,9115
9196,919E
92ED,92B3
9373,9452
93AE,93AD
9421,9435
9599,9B27
95B2,95B1
95D7,95DC
96A0,96B1
96BD,96CB
9752,9751
9771,976D
983D,9839
9854,984F
98CA,98C6
98F2,98EE
9905,9920
9A12,9A37
9AEA,9AEE
9B30,9B31
9CEF,9CF3
9EBD,9EBC
9EC4,9EC3
9ED2,9ED1
9ED9,9ED8
